Wang,106112458
Li,102706360
Zhang,96712872
Liu,73183007
Chen,71121649
Yang,46147514
Huang,34580623
Wu,33777214
Xu,30131788
Zhao,28325809
Zhou,26737821
Lu,20592498
Zhu,19442107
Sun,19421527
Ma,18587412
He,18327933
Yu,16887964
Hu,16708776
Lin,16267038
Jiang,16172109
Guo,16095395
Luo,14382372
Gao,14319919
Zheng,13158672
Tang,12139635
Liang,11987194
Wei,11911702
Shi,11185135
Xie,10716563
Song,9890978
Feng,9287364
Yan,9265111
Han,8856640
Deng,8709513
Cao,8394462
Tan,8262676
Ceng,8213569
Peng,8129091
Xiao,7843323
Yuan,7814164
Pan,7529592
Cheng,7442062
Cai,7439119
Fan,7270597
Tian,7267059
Dong,7185670
Fu,7085674
Ye,6808129
Su,6802015
Du,6568096
Ding,6114310
Jin,6108076
Zhong,6026604
Ren,5801094
Yao,5796727
Yin,5573782
Cui,5401271
Fang,5181431
Liao,5165958
Meng,4945078
Dai,4765499
Gu,4703944
Wen,4698527
Jia,4659482
Qiu,4631817
Xia,4522473
Bai,4455614
Hou,4254797
Zou,4181244
Xiong,4074069
Qin,4023918
Ji,3852487
Gong,3830824
Xue,3683979
Qi,3611012
Duan,3394745
Lei,3382864
Xiang,3175081
Tao,2911145
Mao,2910756
Hao,2803479
Shao,2781757
Guan,2706445
Lai,2704171
Wan,2696596
Qian,2646868
Hong,2550089
Qu,2493333
Mo,2470195
Kong,2451928
Lan,2440475
Kang,2356237
Chang,2318734
Bao,2240035
Ge,2223442
Yi,2175137
Niu,2143028
Xing,2129507
Di,1904056
An,1899524
Zhan,1890098
Qiao,1835916
You,1804296
Tong,1784944
Pang,1772314
Ni,1731458
Zhuang,1719800
Nie,1687113
Yue,1582903
Shen,1577075
Shang,1570592
Ou,1548856
Geng,1485572
Gan,1438890
Jiao,1411636
Zuo,1389958
Mou,1345798
Chu,1312285
Pu,1300581
Tu,1262439
Shu,1253942
Bi,1177958
Dan,1170969
Ning,1166569
Ruan,1156188
Ke,1125821
Mei,1113863
Ling,1095817
Hua,1079936
Xin,1070630
Jing,1064419
Miao,1062947
Huo,1061024
Pei,1060726
Sheng,1041924
Weng,1029820
Ran,1028094
Lian,996695
Mu,945249
Ou_yang,939249
Dou,916573
Chai,912903
Bian,891634
Jie,854306
Lou,804683
Kuang,789646
Teng,786130
Rao,774844
Xi,754894
Ai,730929
Si,724327
Chi,700564
Rong,673796
Quan,670077
Nong,656971
Zhuo,615602
Che,604894
Jian,604639
Mai,583368
Gou,562941
Dang,551614
Cen,551566
Fei,541609
Bo,540747
Leng,530639
Mi,487287
Zong,477839
Gui,466102
Ying,457131
Min,456615
Zang,456543
Chou,427475
Sui,424869
Luan,424502
Ju,422721
Sha,414556
Diao,413791
Kou,403261
Lang,392903
Sang,392455
Zhen,382073
Cong,381981
Ao,371294
Xian,371234
Zhi,365999
She,360992
Ming,360902
Cha,349807
Hui,320112
Le,306299
Nan,293933
Ban,289446
Lao,275118
Pi,243030
Man,232949
Hai,208945
Qiang,201748
Shuai,200868
Gai,197339
Ba,187753
Zu,187498
Qing,182605
Ping,176317
Suo,175120
Xuan,174325
Men,168431
Yun,167634
Chao,158313
A,157414
Rui,155069
Que,153901
Yong,150231
Xiu,142174
Tai,138441
Hang,135962
Na,133559
Ru,126674
Ha,113715
Bin,108344
Zan,92338
Heng,89712
Lee,45360
Nu,40053
Wong,13951
Chan,13694
Zeng,11917
Lau,6225
Cheung,4647
Ho,4559
Guang,4341
Huajing,4083
Shenzhen,3451
Leung,3433
Chow,3377
Xun,2877
Lam,2801
Hsu,2783
Zhai,2613
Jiu,2562
Woo,2430
Tuo,2335
Ouyang,2171
Kim,2136
Ting,2011
Ce,1971
Shan,1850
E,1837
Ng,1802
Kuai,1593
Biao,1575
Smith,1502
Zha,1502
Law,1495
Lo,1469
Lim,1433
Chung,1414
Tsai,1400
Shuang,1396
Tse,1357
Huai,1329
Choi,1279
Yeung,1270
Kwok,1246
Chiu,1203
Shangguan,1198
Chong,1171
Ze,1139
Chiang,1128
Fung,1119
Yip,1111
Bu,1103
Tsang,1056
Me,1050
Lv,980
Fen,961
Van,956
Park,933
Huangfu,885
Chun,877
Tsui,875
Tam,842
Hwang,822
Maimai,818
Kuo,797
Khan,792
Kan,780
Chin,771
Ya,756
Qie,752
Tseng,727
Hung,719
Qun,694
Fong,678
Hoo,672
Leo,663
Yeh,627
Chuang,625
Lui,618
Kwan,593
Shentu,590
